name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Dutch Drone Survey,,https://dutchdronesurvey.nl,logos/fc3a44943b79bbf0cda9046801f7ae6c7519b19d72a3bc078ed84b4eea87bd89.svg,,,,,,,,,"Dutch Drone Survey develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Flight Academy,,https://droneflightacademy.eu,logos/503ad32fc72cc68d81612e33081b66eaa40cc342a0faa8816f39e073a6274b4a.svg,,,,,,,,,"Dutch Flight Academy develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Dutch United Instruments,,https://dutchunitedinstruments.com/,logos/52f9c517f61aa5c381ffcf97f1cbd6d2ae26615b630d467902b1b42c28e69994.svg,,,,,,,,,Dutch United Instruments provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Earsmus Universiteit,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,Space Education,All,,,,,,,,,,,,,,,,,,,,,,,,
ECM Technologies BV,,http://electrochemicalmachining.com/,logos/ab2d1943b924c119703c76fe012e6bfbfc182634e2d630a054e95e4bc6059f6a.svg,,,,,,,,,ECM Technologies offers the full spectrum of services needed for a product to be machined with pECM: from conducting customized R&D to manufacturing the part.,,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Ecosmic,,https://ecosmic.nl/,,,,,,,,,,Ecosmic is a consultancy start-up that aims at supporting space industries that are willing to decrease their environmental impact.,,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
eFarmer,,https://www.efarmer.nl/,logos/3c78926c06733bd3e4ace99b210549b2b74888f2fc7a47a889f6511c9b6ef23a.svg,,,,,,,,,Precision agriculture technology for all the farmers in the world,,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
eLeaf,,https://eleaf.com/,logos/e9bb8eff26c073d9c1946f5c9be92d1d683a365cae3c8d8a672839de285208dd.svg,,,,,,,,,"eLEAF provides satellite based applications and data to optimise crop production and water management. Proven by our track record of over 20 years, it doesn’t matter whether you are managing a multinational agro-holding or developing complex water management policies, our state-of-the-art products will provide an extra dimension and support you to optimise your outputs.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Ellipsis Drive,,https://ellipsis-drive.com/,logos/ca53960ad93a74e9cf3f3922618496507a10ad94cc6acb3c778132d8496b6d9e.svg,https://twitter.com/ellipsisdrive/,,,,,,,,"We make your spatial data and analytics products as easy to manage, share and collaborate on as any text document in a regular drive. Ellipsis Drive converts uploaded spatial data files into beautiful live maps and web services.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
ESA Estec,,https://zeta-solutions.nl,logos/6a92c13453f9cab31b0e7c0357036d26d1a146a1a7be790271d248859536017f.svg,,,,,,,,,,,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
ESA-ESTEC,,https://www.esa.int/About_Us/ESTEC,logos/6a92c13453f9cab31b0e7c0357036d26d1a146a1a7be790271d248859536017f.svg,,,,,,,,,"ESA’s European Space Research and Technology Centre (ESTEC) is the technical heart of ESA, providing test facilities and engineering support for European missions.",,,,,,,,,,,,"Research, Innovation and Incubation",All,,,,,,,,,,,,,,,,,,,,,,,,
Esero Nederland,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,Space Education,All,,,,,,,,,,,,,,,,,,,,,,,,
ESRI,,https://www.esri.nl/nl-nl/home,logos/768761cbb24b618b48f8e0b1dd8bff7ac80369746105732c6d02d53863c6b457.svg,https://twitter.com/esrinederland,,,,,,,,"Esri, marktleider in geografische informatiesystemen (GIS), vormt een wereldwijd netwerk met ruim 1 miljoen succesvolle gebruikers. Onze oplossingen bestaan uit een combinatie van softwareontwikkeling, uitgebreide dienstverlening en kennisoverdracht.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
Euro Drone Inspections,,https://euro-drone-inspections.eu,logos/4e4c73aa93f97fd7b43381e4dd85d3f5398e80a41af1849ed719099080aa84e4.svg,,,,,,,,,"Euro Drone Inspections develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
European Test Services,,https://www.european-test-services.net/,,https://twitter.com/TestCentre,,,,,,,,"European Test Services (ETS) B.V. maintains and operates the environmental test centre of the European Space Agency (ESA) located in The Netherlands. ETS provides test facility services to industry and is active in mechanical testing, EMC testing, thermal vacuum testing, altitude simulation and more.",,,,,,,,,,,,Engineering & Test Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Eurosense BV (The Netherlands),,https://www.eurosense.com/,logos/0ee85bb2709d0855ae66ced725605bbfc39db8a1ba7f7930013355ade20d1d8c.svg,,,,,,,,,"Eurosense is one of the leading aerial surveying, remote sensing and geo-data companies in Europe, with headquarters in Belgium.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
EUSPA GRC,,https://zeta-solutions.nl,,,,,,,,,,Galileo Reference Centre,,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
ExxFire,,https://exxfire.com/,logos/6127965aea45b567bff4bff558203bad98ce71931ebf37efb0e503c7f3cfdedc.svg,,,,,,,,,,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Eye On Orbit,,https://www.eyeonorbit.com/,logos/0de1ab99d76a18a1a2ee2d757e83a968b5164514e27420007c6b8641104b56e8.svg,,,,,,,,,"Eye On Orbit is devoted to bringing developments in space exploration and commerce to society and business. To the stars and beyond! Eye On Orbit  provides independent, reliable, creative and focused expertise to projects carried out by Space organizations worldwide, backed by its many years of experience in (system-) engineering of optomechanical space instrumentation.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Falcker Innovations,,https://falcker.com,logos/e6fcfdeadc1de5113c9c6fefe7e67664d914e8171a7c8ee8f3a6f5636dbaff5f.svg,,,,,,,,,Falcker Innovations provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
First Element,,https://www.element.nl/,logos/f93f6149279f9b3a5095038ed918403af9ddc0742a4143e4d943d471c8551bc7.svg,,,,,,,,,"First Element maakt GIS die werkt voor u. Een geografisch inzicht in uw bedrijf, klanten en markten mét praktische toepassingen.
Wij noemen dat de Geo Added Value.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Flapper Drones,,https://flapper-drones.com/,logos/7c4e62194bc0dea34f177037e7318c600701fb22fadbeb5572fe56f9b6112f93.svg,https://twitter.com/Flapper_Drones,,,,,,,,Immerse yourself in the universe of bioinspired flight. We develop drones for recreational and entertainment purposes.,,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
Free Space Optics Instruments,,https://www.fso-instruments.nl/,logos/b011bbe447138c35b6f29d55a60e27e57316c94be6e1e4e4d32642d1e0c2fd6a.svg,,,,,,,,,Free Space Optics Instruments provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Fugro (Seastar),,https://www.fugro.com/,logos/bb09325cbe1412242e31b81cbd3e148fecf16b54443d8befdcfe854827d12cee.svg,https://twitter.com/fugro,,,,,,,,"Fugro SeastarTM offers high performance positioning services, primarily to the offshore oil and gas industry.",,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Fusion Engineering,,https://fusion.engineering,logos/9e4ad71acbff1f5cb09aa4082ca6b95bd5f11cb058fbe04f1a3801e5ffd541b4.svg,,,,,,,,,Fusion Engineering provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Futurewater,,https://www.futurewater.nl/,logos/d193bf015ce64f65167d1ac973381fa3c1fa548c4b354e685c466d3d384a58ed.svg,https://twitter.com/FutureWaterNL,,,,,,,,"FutureWater is een onderzoek en adviesbureau dat wetenschappelijk onderzoek verbindt met praktische oplossingen voor waterbeheerders binnen en buiten Nederland. FutureWater’s activiteiten bestrijken zowel mondiale, nationale en lokale waterproblemen.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Galileo Reference Centre,,https://www.gsc-europa.eu/sites/default/files/sites/all/files/GRC_Leaflet_V3_web.pdf,,,,,,,,,,The Galileo Reference Centre supports independent performance monitoring and reporting for the EU’s Galileo satellite navigation programme.,,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Geo4A,,https://www.geo4a.com/,logos/48a598c3c2d829ebc0d470136f03985e3f0178adfcfed1399bb1a28735c4d301.svg,,,,,,,,,"GEO4A develops information technology services for companies in the Agribusiness based on satellite data and offers near real-time insights on parcels, crops and regions to support decision making.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
GeoBusiness Nederland,,https://www.geobusiness.nl/,logos/d0875041cad9170226219f74411a66c3e56738c2590449a333eb5c4666d1330d.svg,http://twitter.com/#!/geobusinessnl,,,,,,,,GeoBusiness NL is de branchevereniging voor bedrijven die werken met geo-informatie.,,,,,,,,,,,,Industry and Professional Associations,All,,,,,,,,,,,,,,,,,,,,,,,,
GeoCat,,https://www.geocat.net/,logos/79d824d11f20594455c75c30a278a1cf740bc3b861920deaffb91213acb7e8ad.svg,https://twitter.com/geocat_bv,,,,,,,,"GeoCat offers cutting-edge, customized software and services that make publishing geospatial data on the Internet easier and more efficient. Operating in the fast growing market of Spatial Data Infrastructure (SDI) and geospatial-enabled technologies.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
Geodan,,https://www.geodan.com/,logos/50b0ce1550478a1e3b6576b01f02bb32b1daaf9f3dac0a626b87257170cbca12.svg,https://twitter.com/GeodanNL,,,,,,,,"We developed the blueprint of our approach over 30 years ago: gathering information and displaying it simply in smart maps. By combining data such as company data, current traffic information, or historical data, for instance, we provide smart insights, better communication, more efficient processes, and smooth cooperation.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Geonovum,,https://www.geonovum.nl/,logos/67cb923c0bab7d87a41fe8377f030bbbc76c71a5bcc41dbd9bfd75afef5d405b.svg,,,,,,,,,"Geonovum ontwikkelt de standaarden die nodig zijn om geo-informatie van de overheid toegankelijk en uitwisselbaar te maken. Ook helpen wij de overheid om geo-informatie beter te benutten, door haar te informeren over bestaande en nieuwe voorzieningen.",,,,,,,,,,,,Data Analytics & Insights,All,,,,,,,,,,,,,,,,,,,,,,,,
GeoRas,,https://www.georas.nl/,,,,,,,,,,"Since 1991, GeoRas has been one of the first leading companies in the field of integrated GIS, remote sensing and photogrammetry in The Netherlands.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Geosense,,https://www.geosense.nl/,logos/c4aac2aa0fadba87ca80dd60afa8f179aa4f65abcd489e570f6aa7e8534925e6.svg,,,,,,,,,"Geosense is a reputable independent geological remote sensing consultancy that has gained global recognition for its top-quality remote sensing services. Over the last 30 years we have built up a unique experience in the use of satellite, airborne and ground based remote sensing technology and interpretations for both mining and mineral exploration, as well as O&G exploration.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Geronimo.ai,,https://geronimo.ai/,logos/11a941c556a423e4a221333a460e0e7fd3a83e1936e6653d5b63c0a01dbb6d7e.svg,,,,,,,,,Geronimo.AI designs and creates state-of-the-art AI solutions for your business challenges: RoadMapp predicts the quality of roads and CropMapp detects crops around the world.,,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
GKN Aerospace (was Fokker),,https://www.gknaerospace.com/,logos/dd144779bef8b2b27a63f6d2c1e3c16775de9476db82f6cdb237762bd7b8f697.svg,https://twitter.com/GKNAero,,,,,,,,GKN Aerospace is a global business with facilities in 12 countries.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Global Drone Inspection,,https://drone-inspection.global,,,,,,,,,,"Global Drone Inspection develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
GreenCityWatch,,https://www.greencitywatch.org/,,https://twitter.com/GreenCityWatch,,,,,,,,"We are an open-source geoAI collective building geospatial software to map, monitor, and manage urban trees.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
GTM Advanced Structures,,https://gtm-as.com/,logos/2d84c5cd6411033d29b8c0affba2fbfdb2f6e27fbdf2b2985f820987d3546975.svg,,,,,,,,,WE HELP COMPANIES TO REALIZE ADVANCED AEROSPACE STRUCTURES. Manufacturing dedicated parts & components and providing full support in R&D.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
HDES,,https://hdes.nl/,logos/61cce767db7c935a6d3aabc61cf770f454417dd0595f4ec838677b1ac4f17b00.svg,,,,,,,,,The High Density Energy Systems (HDES) Service & Engineering BV is a Dutch Engineering and Consultancy company that develops products using pneumatic and electrical energy storage technologies for remote and rescue applications.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
HE Space,,https://hespace.com,logos/8c439c961deeca82dec41fa3430916b021a9de4f46454ac4a5b0798ac94ab634.svg,,,,,,,,,"HE Space provides recruitment and staffing services for the space sector, supporting agencies and primes with engineering and operations talent.",,,,,,,,,,,,Space Recruitment,All,,,,,,,,,,,,,,,,,,,,,,,,
Head Communications,,https://headcommunications.com/,,https://twitter.com/Head_Comm,,,,,,,,"Our proprietary data encoding reduces network latency to send data up to 5 time faster than traditional means with 100% fidelity. This means 'real' time, not 10 minutes or an hour later. Our company provides this real time access to life as a cloud or enterprise solution for a variety of stakeholders in 3 product segments.",,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Heliuspace,,https://www.heliuspace.com/,,https://twitter.com/HeliuSpace,,,,,,,,HeliuSpace is shortening lengthy space launch turnaround times by introducing a modular and re-usable rocket engine with single-stage-to-orbit capabilities. Allowing launch service providers to refurbish their launch vehicles faster between launches so that they may rapidly launch more of their customers’ satellites.,,,,,,,,,,,,Propulsion,All,,,,,,,,,,,,,,,,,,,,,,,,
Here,,https://www.here.com/,logos/e38d001264806882c3fbe6879552fffc32fc795216241e910e7c3d09f09266af.svg,https://twitter.com/HERE,,,,,,,,"HERE Technologies (trading as HERE) is a multinational group dealing with mapping, location data and related automotive services to individuals and companies. It is majority-owned by a consortium of German automotive companies (namely Audi, BMW, Daimler) and American semiconductor company Intel whilst other companies also own minority stakes. Its roots date back to U.S.-based Navteq in 1985, which was acquired by Finland-based Nokia in 2007. HERE is currently based in The Netherlands",,,,,,,,,,,,Location-based Services,All,,,,,,,,,,,,,,,,,,,,,,,,
Hermess,,https://www.hermess.nl/,logos/fb451bbb79b02dc33435994f5db7e79b16b5b861e71e23c58f7154f2bd718a2e.svg,,,,,,,,,"HERMESS provides expertise and environmental data to support operations at sea, development of renewable energy both onshore and offshore, and optimization in the agrofood chain.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Hiber,,https://hiber.global/,logos/880af359f36a189dadde037946440d63f7d40c9968798f110b1c2abd90689fa9.svg,https://twitter.com/HiberGlobal,,,,,,,,"Amsterdam-based Hiber offers LoRa and LoRaWAN IoT solutions for monitoring and managing fleets, devices, and infrastructure.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
High Density Energy Storage,,https://hdes.nl/,logos/61cce767db7c935a6d3aabc61cf770f454417dd0595f4ec838677b1ac4f17b00.svg,,,,,,,,,High Density Energy Storage provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
High Eye,,https://higheye.com,logos/681f57bd9ac4c19047f06a5b7c250fd39bde17961d540d9f267d0d1180a87d71.svg,,,,,,,,,High Eye provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
HiView,,https://www.hiview.nl/,logos/c4a91eb6ab4ee4f7f4c5606ed28ded47f5be892e9dfbfb9d9d5db42202a0358f.svg,https://twitter.com/HiViewNL,,,,,,,,HiView deploys a range of platforms on which various sensors (both in the visible and non-visible parts of the spectrum) can be mounted. Raw data is converted to information using various state-of-the-art software packages. Information is transferred to knowledge by our highly qualified scientific staff.,,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
HKV Lijn in Water,,https://www.hkv.nl/,logos/4fa6b8b1613577a0d4fdfdc043b20b76e61df19c214c213599c24f62475ec9c0.svg,,,,,,,,,"Het bieden van kwalitatief goede, duurzame, innovatieve en onafhankelijke oplossingen op het gebied van waterveiligheid en waterbeheer met advies, onderzoek en productontwikkeling.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Hoefsloot Spatial Solutions,,https://hoefsloot.world/,logos/e886dcc01f2e50d87649bbf95d4ff1cc4d714b76ae9161c7486eb8110a820d96.svg,,,,,,,,,"We help answer questions in the field as diverse as agriculture, nature, development, disaster preparedness.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Hogeschool Inholland,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,Space Education,All,,,,,,,,,,,,,,,,,,,,,,,,
HQspace,,https://www.hqspace.nl/,logos/55fc257e11d1977bc9ca350cf09b0ff4cae404ad37c721e884c4f4f47f7544b7.svg,,,,,,,,,"HQspace stands for providing High Quality engineering services for the space sector. With background and experience in space system engineering and operations engineering, HQspace can help space companies with the planning, reviewing and execution of AIT, operations and projects in general. Fueled by a strong desire to deliver detailed, complete and sustainable solution and products, HQspace will help you to get things done first time right.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
HTM Technologies,,https://htm-technologies.com/,logos/5c18e8f07d4bef0714b0ef6efbf858fbd6acdf8d1b518e234fd4695bd2addc5b.svg,,,,,,,,,"HTM Technologies is a world class supplier of high quality technical products made by precision machining as turning, milling, flat and cylindrical grinding, lapping, sheet metal machining, large machining and module assembly.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Hydrologic,,https://www.hydrologic.com/,logos/4e06f40f119ec987d82ca96b9feb354643a1d1a7e5bd7040c5640ded27aec67b.svg,https://twitter.com/HydroNETGlobal,,,,,,,,"HydroLogic has over 20 years of experience in consultancy, research and product development. It is our mission to empower water managers with smart solutions and provide reliable data, simulation models, hydrology tools, user-friendly software and in-depth water knowledge to help them with their water safety and water security tasks.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Hydron energy,,https://hydron-energy.com/,,,,,,,,,,Hydron Energy manufactures advanced electrochemical membrane modules (stacks) for hydrogen production equipment based on the water electrolysis process.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
Icecubes,,https://www.icecubesservice.com/services/,,,,,,,,,,Icecubes provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
IGP,,https://igp.net/,logos/60bb3685044dcc8d4b585e55a989d69037896d441837ca367aaad676ec0a8db5.svg,,,,,,,,,"IGP develops and manufactures highly advanced, reliable, automated SNG and fixed antenna systems for C, Ku and Ka band. Ideal for trouble-free DVB and IP satellite transmissions.",,,,,,,,,,,,Satellite Communication,All,,,,,,,,,,,,,,,,,,,,,,,,
IGRAC International Groundwater Resources Assessment Centre,,https://www.un-igrac.org/,logos/446c5e34d6edd4ab4b4d126643fa7d1192c0d9df44a705039fe6cfe5d6ce47a2.svg,https://twitter.com/unigrac,,,,,,,,"IGRAC, the International Groundwater Resources Assessment Centre, is a UNESCO centre that works under auspices of WMO and is supported by the Government of The Netherlands. IGRAC specialises in regional- and transboundary-level assessment and monitoring of groundwater resources with a focus on managed aquifer recharge, groundwater governance and SIDS.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
IIASL,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,Space Education,All,,,,,,,,,,,,,,,,,,,,,,,,
Imagem,,https://www.imagemnl.com/,logos/8b3fb69e5a9aea043ace8cae12bc3b5ae1ab6db0b71792a6d1c761120ae3e1f7.svg,https://twitter.com/ImagemNL,,,,,,,,"We automate your processes by infusing innovation with location-data under the hood, so you can focus on the important issues. Address what matters by making your data and systems work for you.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Imara,,https://imara.earth/,,,,,,,,,,Geodata gives us insight in where we can find this balance. It shows us what the landscape needs and the influence of people over space and time. This is necessary to provide a sustainable future for us,,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Infoplaza,,https://www.infoplaza.nl/,logos/ff281eedb88cc89b70fdf31488962ba9e6bdabaeab7f1ddfba5411ecd05bef5e.svg,,,,,,,,,"Onze missie is om mensen en organisaties te helpen beslissen met de juiste informatie voor ieder punt. Met ons enthousiaste team van professionals en nieuwste technologieën zijn we relevant in uw vraagstukken. Onze informatie is nauwkeurig, beslissend, ultra lokaal en tijdig. Of het nu op land, op zee, op de weg of in de atmosfeer is; in het verleden, heden, toekomst of in trends… onze informatie is… to the point.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
InHolland Space Minor,,https://www.inholland.nl/nieuws/nieuwe-space-minor-leidt-studenten-op-tot-toekomstige-space-engineers/,logos/40ea0a590959317fe14a26e06913e0d7db6611961e7c04135ea8334c71951542.svg,,,,,,,,,InHolland Space Minor provides solutions and services in the space and aerospace domain; details can be found on the company's website.,,,,,,,,,,,,Other Space Data Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Inmarsat,,https://www.inmarsat.com/,logos/db8070514ef8664be0b3411be1b33c3ae26d46f3d42d80fe3ea76dba8527d49f.svg,https://twitter.com/InmarsatGlobal,,,,,,,,"Inmarsat has led the way in global mobile satellite communications for over 40 years. We solve the toughest connectivity challenges of our customers, anywhere in the world.",,,,,,,,,,,,Satellite Operations,All,,,,,,,,,,,,,,,,,,,,,,,,
Innovation Quarter,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,"Research, Innovation and Incubation",All,,,,,,,,,,,,,,,,,,,,,,,,
InTech,,http://www.intech.nl/,logos/0894f0e59c05daa7ef4b28eb8769116ecca5f4127cec2f984d1d4ab23830d4a0.svg,,,,,,,,,"InTech BV is een internationaal opererend ingenieursbureau dat diensten levert op het gebied Bodem, Milieu & Waterveiligheid.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Intellian,,https://www.intelliantech.com/,logos/bdee24056ae174a0fcedb8c78b92627c85e93f0273ec334157bff526e5a4976b.svg,,,,,,,,,Intellian is leading the way with premium satellite communications systems featuring the most advanced innovative technology available. See how and where.,,,,,,,,,,,,Satellite Communication,All,,,,,,,,,,,,,,,,,,,,,,,,
Irriwatch,,https://www.irriwatch.com/,logos/ab9ac8c7e2509224b4644be7e8640c69788a48bd0100f746660db78811c30a5b.svg,https://twitter.com/IrriWatch,,,,,,,,"IrriWatch helps farmers and their irrigators to optimize irrigation water applications in a world of dynamical weather, soil and crop processes.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
ISIS,,https://www.isispace.nl/,logos/0fce765564f7ec7790bad6aef3496a92351ad6912127e7ade1ae4a4b80a8d3c9.svg,https://twitter.com/isis_space,,,,,,,,We specialize in realizing innovative turn-key small satellite missions including launch and operations for in-orbit delivery.,,,,,,,,,,,,Satellites,All,,,,,,,,,,,,,,,,,,,,,,,,
ISISPACE,,http://isispace.nl,logos/0fce765564f7ec7790bad6aef3496a92351ad6912127e7ade1ae4a4b80a8d3c9.svg,,,,,,,,,"ISISPACE designs, builds and operates small satellites and CubeSat missions, offering platforms, components and launch integration services.",,,,,,,,,,,,Satellites,All,,,,,,,,,,,,,,,,,,,,,,,,
ITC University of Twente,,https://zeta-solutions.nl,,,,,,,,,,,,,,,,,,,,,,Space Education,All,,,,,,,,,,,,,,,,,,,,,,,,
Just Drone,,https://justdrone.nl,,,,,,,,,,"Just Drone develops and delivers drone systems and services for inspection, mapping, security and other industrial applications, integrating hardware, software and operations.",,,,,,,,,,,,Drone/UAV Mapping,All,,,,,,,,,,,,,,,,,,,,,,,,
KEC Engineering Consultancy,,https://kec.nl/,logos/0e85db21c8abf6f299b2f0d1cf26f0ba79b46d086aafc6a18097fb63a203b446.svg,,,,,,,,,"Sinds 1995 onderscheidt KEC zich door haar integrale aanpak met aandacht voor techniek, organisatie en business. Daarbij combineert KEC state-of-the art technieken en methodieken met pragmatisme, waardoor innovaties snel tot nieuwe business leiden en high-tech projecten verwachtingen overtreffen.",,,,,,,,,,,,Space Consultancy,All,,,,,,,,,,,,,,,,,,,,,,,,
Kitepower,,https://kitepower.nl,logos/1d69ffb52622800475be45abb0b94bf3aea5d0bf65ad2ee582c618d7a43f5a61.svg,,,,,,,,,Kitepower develops airborne wind energy systems using tethered kites to generate renewable electricity and provide off‑grid power solutions.,,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
KNMI,,https://knmi.nl/,logos/34a52850da5b912033664b91d3d71769d18dba13a08818e81d3dcf447f61509a.svg,,,,,,,,,"The Royal Netherlands Meteorological Institute (KNMI) is the Dutch national weather service. Primary tasks of KNMI are weather forecasting, and monitoring of weather, climate, air quality and seismic activity. KNMI is also the national research and information centre for meteorology, climate, air quality, and seismology.",,,,,,,,,,,,Earth Observation Applications,All,,,,,,,,,,,,,,,,,,,,,,,,
Kok & van Engelen Composite Structures (KVE),,https://www.kve.nl/,logos/90757dae039f1061a1f4994866154f6fb63d121a507727f975832e58d1340fbd.svg,,,,,,,,,"KVE is a unique design and build organization of high-end composite structures located in the Netherlands, supported by a well-established parent company Daher Aerospace.",,,,,,,,,,,,Subsystems & Components,All,,,,,,,,,,,,,,,,,,,,,,,,
